"name_dir","type_comunitie"
"acapa",NA
"arlequin",NA
"banakale",NA
"banco2",NA
"bc-y-bm",NA
"cajambre",NA
"carmen-darien",NA
"choco-darien",NA
"cmari",NA
"co2-bio-fasei",NA
"co2bio-p2",NA
"cocomacia",NA
"cocoman",NA
"cocoman-Pacifi",NA
"concosta",NA
"corpochivor",NA
"crima-pred-putumay",NA
"dabucury",NA
"delfines",NA
"el-tigre",NA
"galilea",NA
"guacharos",NA
"kaliawiri",NA
"magnolios",NA
"monocha",NA
"mutata",NA
"naya",NA
"otun",NA
"palameku",NA
"pari-rgyrn",NA
"pari-vp1",NA
"peliwaisi",NA
"predio-putumayo",NA
"siviru",NA
"tangara",NA
"yaawi-iipana",NA
"yutucu",NA
"zabalo",NA
