name_file,name_shape
Acapa,Projects\\Acapa
Arlequin,Projects\\Arlequin
Banakale,Projects\\Banakale
BanCO2,Projects\\BanCO2
BC,Projects\\BC_y_BM
Cajambre,Projects\\Cajambre
Carmen,Projects\\Carmen Darien
Choco,Projects\\Choco_Darien
CMARI,Projects\\CMARI
CO2,Projects\\CO2_BIO_FaseI
CO2BIO,Projects\\CO2BIO_P2
Cocomacia,Projects\\Cocomacia
Cocoman,Projects\\Cocoman
Concosta,Projects\\Concosta
Corpochivor,Projects\\Corpochivor
Crima,Projects\\Crima_Pred_Putumay
Dabucury,Projects\\Dabucury
Delfines,Projects\\Delfines
P,Projects\\El Tigre\\P_El_Tigre
Galilea,Projects\\Galilea
Guacharos,Projects\\Guacharos
Kaliawiri,Projects\\Kaliawiri
Magnolios,Projects\\Magnolios
Monocha,Projects\\Monocha
Mutata,Projects\\Mutata
Naya,Projects\\Naya
Otun,Projects\\Otun
Palameku,Projects\\Palameku
PARI,Projects\\PARI_RGyRN
P,Projects\\PARI_VP1\\P_PARI_VP1
Peliwaisi,Projects\\Peliwaisi
Predio,Projects\\Predio_Putumayo
Siviru,Projects\\Siviru
Tangara,Projects\\Tangara
Yaawi,Projects\\Yaawi_iipana
P,Projects\\Yutucu\\P_Yutucu
P,Projects\\Zabalo\\P_Zabalo
